S.L,Position,Allowance,Rate,Grade,Step-0,Step-1,Step-2,Step-3,Step-4,Step-5,Step-6,Step-7,Step-8,Step-9,Step-10
,PF Contribution (Organization),,,," 7,200 "," 7,704 "," 8,243 "," 8,820 "," 9,438 "," 10,098 "," 10,805 "," 11,562 "," 12,371 "," 13,237 "," 14,163 "
,Lunch bill,,,," 1,560 "," 1,560 "," 1,560 "," 1,560 "," 1,560 "," 1,560 "," 1,560 "," 1,560 "," 1,560 "," 1,560 "," 1,560 "
Grand total,,,,," 163,360 "," 174,196 "," 185,791 "," 198,197 "," 211,471 "," 225,675 "," 240,873 "," 257,135 "," 274,535 "," 293,153 "," 313,075 "
3,"Director 
(MF/HR,Admin & Training/Finance & Accounts/Audit & Monitoring/Program)",Basic,7%,iii," 60,500 "," 64,735 "," 69,266 "," 74,115 "," 79,303 "," 84,854 "," 90,794 "," 97,150 "," 103,950 "," 111,227 "," 119,013 "
,,HR,70%,," 42,350 "," 45,315 "," 48,487 "," 51,881 "," 55,512 "," 59,398 "," 63,556 "," 68,005 "," 72,765 "," 77,859 "," 83,309 "
,,MA,Fixed,," 3,000 "," 3,000 "," 3,000 "," 3,000 "," 3,000 "," 3,000 "," 3,000 "," 3,000 "," 3,000 "," 3,000 "," 3,000 "
,,Con,35%,," 21,175 "," 22,657 "," 24,243 "," 25,940 "," 27,756 "," 29,699 "," 31,778 "," 34,002 "," 36,383 "," 38,929 "," 41,654 "
,,Entertainment,Fixed,," 4,000 "," 4,000 "," 4,000 "," 4,000 "," 4,000 "," 4,000 "," 4,000 "," 4,000 "," 4,000 "," 4,000 "," 4,000 "
,Gross Salary,,,," 131,025 "," 139,707 "," 148,996 "," 158,936 "," 169,571 "," 180,951 "," 193,128 "," 206,157 "," 220,098 "," 235,015 "," 250,976 "
,PF & SWF Deduction,,,," 6,150 "," 6,574 "," 7,027 "," 7,512 "," 8,030 "," 8,585 "," 9,179 "," 9,815 "," 10,495 "," 11,223 "," 12,001 "
,Net Salary,,,," 124,875 "," 133,133 "," 141,970 "," 151,424 "," 161,541 "," 172,366 "," 183,949 "," 196,342 "," 209,603 "," 223,792 "," 238,975 "
,PF Contribution (Organization),,,," 6,050 "," 6,474 "," 6,927 "," 7,412 "," 7,930 "," 8,485 "," 9,079 "," 9,715 "," 10,395 "," 11,123 "," 11,901 "
,Lunch bill,,,," 1,560 "," 1,560 "," 1,560 "," 1,560 "," 1,560 "," 1,560 "," 1,560 "," 1,560 "," 1,560 "," 1,560 "," 1,560 "
Grand total,,,,," 138,635 "," 147,740 "," 157,483 "," 167,907 "," 179,062 "," 190,997 "," 203,768 "," 217,432 "," 232,053 "," 247,698 "," 264,437 "
4,"Deputy Director (MF/HR,Admin & Training/Finance & Accounts/Audit & Monitoring/Program)",Basic,7%,iv," 55,000 "," 58,850 "," 62,970 "," 67,377 "," 72,094 "," 77,140 "," 82,540 "," 88,318 "," 94,500 "," 101,115 "," 108,193 "
,,HR,70%,," 38,500 "," 41,195 "," 44,079 "," 47,164 "," 50,466 "," 53,998 "," 57,778 "," 61,823 "," 66,150 "," 70,781 "," 75,735 "
,,MA,Fixed,," 3,000 "," 3,000 "," 3,000 "," 3,000 "," 3,000 "," 3,000 "," 3,000 "," 3,000 "," 3,000 "," 3,000 "," 3,000 "
,,Con,35%,," 19,250 "," 20,598 "," 22,039 "," 23,582 "," 25,233 "," 26,999 "," 28,889 "," 30,911 "," 33,075 "," 35,390 "," 37,868 "
,,Entertainment,Fixed,," 4,000 "," 4,000 "," 4,000 "," 4,000 "," 4,000 "," 4,000 "," 4,000 "," 4,000 "," 4,000 "," 4,000 "," 4,000 "
,Gross Salary,,,," 119,750 "," 127,643 "," 136,087 "," 145,124 "," 154,792 "," 165,138 "," 176,207 "," 188,052 "," 200,725 "," 214,286 "," 228,796 "
,PF & SWF Deduction,,,," 5,600 "," 5,985 "," 6,397 "," 6,838 "," 7,309 "," 7,814 "," 8,354 "," 8,932 "," 9,550 "," 10,212 "," 10,919 "
,Net Salary,,,," 114,150 "," 121,658 "," 129,691 "," 138,286 "," 147,483 "," 157,324 "," 167,853 "," 179,120 "," 191,175 "," 204,075 "," 217,877 "
,PF Contribution (Organization),,,," 5,500 "," 5,885 "," 6,297 "," 6,738 "," 7,209 "," 7,714 "," 8,254 "," 8,832 "," 9,450 "," 10,112 "," 10,819 "
,Lunch bill,,,," 1,560 "," 1,560 "," 1,560 "," 1,560 "," 1,560 "," 1,560 "," 1,560 "," 1,560 "," 1,560 "," 1,560 "," 1,560 "
Grand total,,,,," 126,810 "," 135,088 "," 143,944 "," 153,421 "," 163,562 "," 174,412 "," 186,021 "," 198,444 "," 211,736 "," 225,958 "," 241,176 "
5,"Assistant Director
(MF/HR,Admin & Training/Finance & Accounts/Audit & Monitoring/Program)",Basic,7%,v," 40,000 "," 42,800 "," 45,796 "," 49,002 "," 52,432 "," 56,102 "," 60,029 "," 64,231 "," 68,727 "," 73,538 "," 78,686 "
,,HR,70%,," 28,000 "," 29,960 "," 32,057 "," 34,301 "," 36,702 "," 39,271 "," 42,020 "," 44,962 "," 48,109 "," 51,477 "," 55,080 "
,,MA,Fixed,," 3,000 "," 3,000 "," 3,000 "," 3,000 "," 3,000 "," 3,000 "," 3,000 "," 3,000 "," 3,000 "," 3,000 "," 3,000 "
,,Con,35%,," 14,000 "," 14,980 "," 16,029 "," 17,151 "," 18,351 "," 19,636 "," 21,010 "," 22,481 "," 24,055 "," 25,738 "," 27,540 "
,,Entertainment,Fixed,," 4,000 "," 4,000 "," 4,000 "," 4,000 "," 4,000 "," 4,000 "," 4,000 "," 4,000 "," 4,000 "," 4,000 "," 4,000 "
,Gross Salary,,,," 89,000 "," 94,740 "," 100,882 "," 107,454 "," 114,485 "," 122,009 "," 130,060 "," 138,674 "," 147,891 "," 157,754 "," 168,306 "
,PF & SWF Deduction,,,," 4,100 "," 4,380 "," 4,680 "," 5,000 "," 5,343 "," 5,710 "," 6,103 "," 6,523 "," 6,973 "," 7,454 "," 7,969 "
,Net Salary,,,," 84,900 "," 90,360 "," 96,202 "," 102,453 "," 109,142 "," 116,299 "," 123,957 "," 132,151 "," 140,919 "," 150,300 "," 160,338 "
,PF Contribution (Organization),,,," 4,000 "," 4,280 "," 4,580 "," 4,900 "," 5,243 "," 5,610 "," 6,003 "," 6,423 "," 6,873 "," 7,354 "," 7,869 "
,Lunch bill,,,," 1,560 "," 1,560 "," 1,560 "," 1,560 "," 1,560 "," 1,560 "," 1,560 "," 1,560 "," 1,560 "," 1,560 "," 1,560 "
Grand total,,,,," 94,560 "," 100,580 "," 107,021 "," 113,914 "," 121,288 "," 129,179 "," 137,623 "," 146,657 "," 156,324 "," 166,667 "," 177,735 "
6,"Deputy Assistant Director (MF/HR,Admin & Training/Finance & Accounts/Audit & Monitoring/Program)
Zonal Manager",Basic,7%,vi," 31,000 "," 33,170 "," 35,492 "," 37,976 "," 40,635 "," 43,479 "," 46,523 "," 49,779 "," 53,264 "," 56,992 "," 60,982 "
,,HR,70%,," 21,700 "," 23,219 "," 24,844 "," 26,583 "," 28,444 "," 30,435 "," 32,566 "," 34,845 "," 37,285 "," 39,895 "," 42,687 "
,,MA,Fixed,," 3,000 "," 3,000 "," 3,000 "," 3,000 "," 3,000 "," 3,000 "," 3,000 "," 3,000 "," 3,000 "," 3,000 "," 3,000 "
,,Con,35%,," 10,850 "," 11,610 "," 12,422 "," 13,292 "," 14,222 "," 15,218 "," 16,283 "," 17,423 "," 18,642 "," 19,947 "," 21,344 "
,,Entertainment,Fixed,," 4,000 "," 4,000 "," 4,000 "," 4,000 "," 4,000 "," 4,000 "," 4,000 "," 4,000 "," 4,000 "," 4,000 "," 4,000 "
,Gross Salary,,,," 70,550 "," 74,999 "," 79,758 "," 84,851 "," 90,301 "," 96,132 "," 102,371 "," 109,047 "," 116,191 "," 123,834 "," 132,012 "
,PF & SWF Deduction,,,," 3,200 "," 3,417 "," 3,649 "," 3,898 "," 4,163 "," 4,448 "," 4,752 "," 5,078 "," 5,426 "," 5,799 "," 6,198 "
,Net Salary,,,," 67,350 "," 71,582 "," 76,109 "," 80,954 "," 86,138 "," 91,684 "," 97,619 "," 103,969 "," 110,764 "," 118,035 "," 125,814 "
,PF Contribution (Organization),,,," 3,100 "," 3,317 "," 3,549 "," 3,798 "," 4,063 "," 4,348 "," 4,652 "," 4,978 "," 5,326 "," 5,699 "," 6,098 "
,Gross Salary (Without Fuel & Lunch bill),,,," 73,650 "," 78,316 "," 83,308 "," 88,649 "," 94,365 "," 100,480 "," 107,024 "," 114,025 "," 121,517 "," 129,533 "," 138,111 "
,Fuel bill,,,," 4,500 "," 4,500 "," 4,500 "," 4,500 "," 4,500 "," 4,500 "," 4,500 "," 4,500 "," 4,500 "," 4,500 "," 4,500 "
,Lunch bill,,,," 1,560 "," 1,560 "," 1,560 "," 1,560 "," 1,560 "," 1,560 "," 1,560 "," 1,560 "," 1,560 "," 1,560 "," 1,560 "
Grand total,,,,," 79,710 "," 84,376 "," 89,368 "," 94,709 "," 100,425 "," 106,540 "," 113,084 "," 120,085 "," 127,577 "," 135,593 "," 144,171 "
7,Regional Manager-I,Basic,7%,vii," 28,000 "," 29,960 "," 32,057 "," 34,301 "," 36,702 "," 39,271 "," 42,020 "," 44,962 "," 48,109 "," 51,477 "," 55,080 "
,,HR,70%,," 19,600 "," 20,972 "," 22,440 "," 24,011 "," 25,692 "," 27,490 "," 29,414 "," 31,473 "," 33,676 "," 36,034 "," 38,556 "
,,MA,Fixed,," 3,000 "," 3,000 "," 3,000 "," 3,000 "," 3,000 "," 3,000 "," 3,000 "," 3,000 "," 3,000 "," 3,000 "," 3,000 "
,,Con,35%,," 9,800 "," 10,486 "," 11,220 "," 12,005 "," 12,846 "," 13,745 "," 14,707 "," 15,737 "," 16,838 "," 18,017 "," 19,278 "
,,Entertainment,Fixed,," 4,000 "," 4,000 "," 4,000 "," 4,000 "," 4,000 "," 4,000 "," 4,000 "," 4,000 "," 4,000 "," 4,000 "," 4,000 "
,Gross Salary,,,," 64,400 "," 68,418 "," 72,717 "," 77,317 "," 82,240 "," 87,506 "," 93,142 "," 99,172 "," 105,624 "," 112,528 "," 119,914 "
,PF & SWF Deduction,,,," 2,900 "," 3,096 "," 3,306 "," 3,530 "," 3,770 "," 4,027 "," 4,302 "," 4,596 "," 4,911 "," 5,248 "," 5,608 "
,Net Salary,,,," 61,500 "," 65,322 "," 69,412 "," 73,787 "," 78,469 "," 83,479 "," 88,840 "," 94,576 "," 100,713 "," 107,280 "," 114,306 "
,PF Contribution (Organization),,,," 2,800 "," 2,996 "," 3,206 "," 3,430 "," 3,670 "," 3,927 "," 4,202 "," 4,496 "," 4,811 "," 5,148 "," 5,508 "
,Gross Salary (Without Fuel & Lunch bill),,,," 67,200 "," 71,414 "," 75,923 "," 80,748 "," 85,910 "," 91,434 "," 97,344 "," 103,668 "," 110,435 "," 117,675 "," 125,423 "
,Fuel bill,,,," 4,000 "," 4,000 "," 4,000 "," 4,000 "," 4,000 "," 4,000 "," 4,000 "," 4,000 "," 4,000 "," 4,000 "," 4,000 "
,Lunch bill,,,," 1,560 "," 1,560 "," 1,560 "," 1,560 "," 1,560 "," 1,560 "," 1,560 "," 1,560 "," 1,560 "," 1,560 "," 1,560 "
Grand total,,,,," 72,760 "," 76,974 "," 81,483 "," 86,308 "," 91,470 "," 96,994 "," 102,904 "," 109,228 "," 115,995 "," 123,235 "," 130,983 "
8,Regional Manager-ii,Basic,7%,viii," 25,000 "," 26,750 "," 28,623 "," 30,626 "," 32,770 "," 35,064 "," 37,518 "," 40,145 "," 42,955 "," 45,961 "," 49,179 "
,,HR,70%,," 17,500 "," 18,725 "," 20,036 "," 21,438 "," 22,939 "," 24,545 "," 26,263 "," 28,101 "," 30,068 "," 32,173 "," 34,425 "
,,MA,Fixed,," 3,000 "," 3,000 "," 3,000 "," 3,000 "," 3,000 "," 3,000 "," 3,000 "," 3,000 "," 3,000 "," 3,000 "," 3,000 "
,,Con,35%,," 8,750 "," 9,363 "," 10,018 "," 10,719 "," 11,469 "," 12,272 "," 13,131 "," 14,051 "," 15,034 "," 16,087 "," 17,213 "
,,Entertainment,Fixed,," 4,000 "," 4,000 "," 4,000 "," 4,000 "," 4,000 "," 4,000 "," 4,000 "," 4,000 "," 4,000 "," 4,000 "," 4,000 "
,Gross Salary,,,," 58,250 "," 61,838 "," 65,676 "," 69,783 "," 74,178 "," 78,881 "," 83,912 "," 89,296 "," 95,057 "," 101,221 "," 107,817 "
,PF & SWF Deduction,,,," 2,600 "," 2,775 "," 2,962 "," 3,163 "," 3,377 "," 3,606 "," 3,852 "," 4,114 "," 4,395 "," 4,696 "," 5,018 "
,Net Salary,,,," 55,650 "," 59,063 "," 62,714 "," 66,621 "," 70,801 "," 75,274 "," 80,061 "," 85,182 "," 90,662 "," 96,525 "," 102,799 "
,PF Contribution (Organization),,,," 2,500 "," 2,675 "," 2,862 "," 3,063 "," 3,277 "," 3,506 "," 3,752 "," 4,014 "," 4,295 "," 4,596 "," 4,918 "
,Gross Salary (Without Fuel & Lunch bill),,,," 60,750 "," 64,513 "," 68,538 "," 72,846 "," 77,455 "," 82,387 "," 87,664 "," 93,311 "," 99,353 "," 105,817 "," 112,734 "
,Fuel bill,,,," 4,000 "," 4,000 "," 4,000 "," 4,000 "," 4,000 "," 4,000 "," 4,000 "," 4,000 "," 4,000 "," 4,000 "," 4,000 "
,Lunch bill,,,," 1,560 "," 1,560 "," 1,560 "," 1,560 "," 1,560 "," 1,560 "," 1,560 "," 1,560 "," 1,560 "," 1,560 "," 1,560 "
Grand total,,,,," 66,310 "," 70,073 "," 74,098 "," 78,406 "," 83,015 "," 87,947 "," 93,224 "," 98,871 "," 104,913 "," 111,377 "," 118,294 "
9,"Senior Manager (Audit/Accounts/HR/Admin/ Training/Monitoring)/
Branch Manager-I",Basic,7%,ix," 23,700 "," 25,359 "," 27,134 "," 29,034 "," 31,066 "," 33,240 "," 35,567 "," 38,057 "," 40,721 "," 43,571 "," 46,621 "
,,HR,70%,," 16,590 "," 17,751 "," 18,994 "," 20,323 "," 21,746 "," 23,268 "," 24,897 "," 26,640 "," 28,505 "," 30,500 "," 32,635 "
,,MA,Fixed,," 3,000 "," 3,000 "," 3,000 "," 3,000 "," 3,000 "," 3,000 "," 3,000 "," 3,000 "," 3,000 "," 3,000 "," 3,000 "
,,Con,35%,," 8,295 "," 8,876 "," 9,497 "," 10,162 "," 10,873 "," 11,634 "," 12,449 "," 13,320 "," 14,252 "," 15,250 "," 16,318 "
,,Entertainment,Fixed,," 4,000 "," 4,000 "," 4,000 "," 4,000 "," 4,000 "," 4,000 "," 4,000 "," 4,000 "," 4,000 "," 4,000 "," 4,000 "
,Gross Salary,,,," 55,585 "," 58,986 "," 62,625 "," 66,519 "," 70,685 "," 75,143 "," 79,913 "," 85,017 "," 90,478 "," 96,322 "," 102,574 "
,PF & SWF Deduction,,,," 2,470 "," 2,636 "," 2,813 "," 3,003 "," 3,207 "," 3,424 "," 3,657 "," 3,906 "," 4,172 "," 4,457 "," 4,762 "
,Net Salary,,,," 53,115 "," 56,350 "," 59,812 "," 63,515 "," 67,478 "," 71,719 "," 76,256 "," 81,111 "," 86,306 "," 91,864 "," 97,812 "
,PF Contribution (Organization),,,," 2,370 "," 2,536 "," 2,713 "," 2,903 "," 3,107 "," 3,324 "," 3,557 "," 3,806 "," 4,072 "," 4,357 "," 4,662 "
,Gross Salary (Without Fuel & Lunch bill),,,," 57,955 "," 61,522 "," 65,338 "," 69,422 "," 73,792 "," 78,467 "," 83,470 "," 88,823 "," 94,550 "," 100,679 "," 107,236 "
,Fuel bill,,,," 4,000 "," 4,000 "," 4,000 "," 4,000 "," 4,000 "," 4,000 "," 4,000 "," 4,000 "," 4,000 "," 4,000 "," 4,000 "
,Lunch bill,,,," 1,560 "," 1,560 "," 1,560 "," 1,560 "," 1,560 "," 1,560 "," 1,560 "," 1,560 "," 1,560 "," 1,560 "," 1,560 "
Grand total,,,,," 63,515 "," 67,082 "," 70,898 "," 74,982 "," 79,352 "," 84,027 "," 89,030 "," 94,383 "," 100,110 "," 106,239 "," 112,796 "
10,"Manager 
(HR/Admin/Training/Audit/ Accounts/Monitoring)/
Branch Manager-ii",Basic,7%,x," 20,000 "," 21,400 "," 22,898 "," 24,501 "," 26,216 "," 28,051 "," 30,015 "," 32,116 "," 34,364 "," 36,769 "," 39,343 "
,,HR,70%,," 14,000 "," 14,980 "," 16,029 "," 17,151 "," 18,351 "," 19,636 "," 21,010 "," 22,481 "," 24,055 "," 25,738 "," 27,540 "
,,MA,Fixed,," 3,000 "," 3,000 "," 3,000 "," 3,000 "," 3,000 "," 3,000 "," 3,000 "," 3,000 "," 3,000 "," 3,000 "," 3,000 "
,,Con,35%,," 7,000 "," 7,490 "," 8,014 "," 8,575 "," 9,176 "," 9,818 "," 10,505 "," 11,240 "," 12,027 "," 12,869 "," 13,770 "
,,Entertainment,Fixed,," 4,000 "," 4,000 "," 4,000 "," 4,000 "," 4,000 "," 4,000 "," 4,000 "," 4,000 "," 4,000 "," 4,000 "," 4,000 "
,Gross Salary,,,," 48,000 "," 50,870 "," 53,941 "," 57,227 "," 60,743 "," 64,505 "," 68,530 "," 72,837 "," 77,446 "," 82,377 "," 87,653 "
,PF & SWF Deduction,,,," 2,100 "," 2,240 "," 2,390 "," 2,550 "," 2,722 "," 2,905 "," 3,101 "," 3,312 "," 3,536 "," 3,777 "," 4,034 "
,Net Salary,,,," 45,900 "," 48,630 "," 51,551 "," 54,677 "," 58,021 "," 61,600 "," 65,428 "," 69,525 "," 73,909 "," 78,600 "," 83,619 "
,PF Contribution (Organization),,,," 2,000 "," 2,140 "," 2,290 "," 2,450 "," 2,622 "," 2,805 "," 3,001 "," 3,212 "," 3,436 "," 3,677 "," 3,934 "
,Gross Salary (Without Fuel & Lunch bill),,,," 50,000 "," 53,010 "," 56,231 "," 59,677 "," 63,364 "," 67,310 "," 71,531 "," 76,049 "," 80,882 "," 86,054 "," 91,588 "
,Fuel bill,,,," 4,000 "," 4,000 "," 4,000 "," 4,000 "," 4,000 "," 4,000 "," 4,000 "," 4,000 "," 4,000 "," 4,000 "," 4,000 "
,Lunch bill,,,," 1,560 "," 1,560 "," 1,560 "," 1,560 "," 1,560 "," 1,560 "," 1,560 "," 1,560 "," 1,560 "," 1,560 "," 1,560 "
Grand total,,,,," 55,560 "," 58,570 "," 61,791 "," 65,237 "," 68,924 "," 72,870 "," 77,091 "," 81,609 "," 86,442 "," 91,614 "," 97,148 "
11,"Assistant Manager  (Audit/HR/Admin/Training/ Accounts/Monitoring)/ 
Branch Manager-iii",Basic,7%,xi," 17,000 "," 18,190 "," 19,463 "," 20,826 "," 22,284 "," 23,843 "," 25,512 "," 27,298 "," 29,209 "," 31,254 "," 33,442 "
,,HR,70%,," 11,900 "," 12,733 "," 13,624 "," 14,578 "," 15,598 "," 16,690 "," 17,859 "," 19,109 "," 20,446 "," 21,878 "," 23,409 "
,,MA,Fixed,," 3,000 "," 3,000 "," 3,000 "," 3,000 "," 3,000 "," 3,000 "," 3,000 "," 3,000 "," 3,000 "," 3,000 "," 3,000 "
,,Con,35%,," 5,950 "," 6,367 "," 6,812 "," 7,289 "," 7,799 "," 8,345 "," 8,929 "," 9,554 "," 10,223 "," 10,939 "," 11,705 "
,,Entertainment,Fixed,," 4,000 "," 4,000 "," 4,000 "," 4,000 "," 4,000 "," 4,000 "," 4,000 "," 4,000 "," 4,000 "," 4,000 "," 4,000 "
,Gross Salary,,,," 41,850 "," 44,290 "," 46,900 "," 49,693 "," 52,681 "," 55,879 "," 59,300 "," 62,961 "," 66,879 "," 71,070 "," 75,556 "
,PF & SWF Deduction,,,," 1,800 "," 1,919 "," 2,046 "," 2,183 "," 2,328 "," 2,484 "," 2,651 "," 2,830 "," 3,021 "," 3,225 "," 3,444 "
,Net Salary,,,," 40,050 "," 42,371 "," 44,853 "," 47,510 "," 50,353 "," 53,394 "," 56,649 "," 60,131 "," 63,858 "," 67,845 "," 72,112 "
,PF Contribution (Organization),,,," 1,700 "," 1,819 "," 1,946 "," 2,083 "," 2,228 "," 2,384 "," 2,551 "," 2,730 "," 2,921 "," 3,125 "," 3,344 "
,Gross Salary (Without Fuel & Lunch bill),,,," 43,550 "," 46,109 "," 48,846 "," 51,775 "," 54,909 "," 58,263 "," 61,851 "," 65,691 "," 69,799 "," 74,196 "," 78,900 "
,Fuel bill,,,," 4,000 "," 4,000 "," 4,000 "," 4,000 "," 4,000 "," 4,000 "," 4,000 "," 4,000 "," 4,000 "," 4,000 "," 4,000 "
,Lunch bill,,,," 1,560 "," 1,560 "," 1,560 "," 1,560 "," 1,560 "," 1,560 "," 1,560 "," 1,560 "," 1,560 "," 1,560 "," 1,560 "
Grand total,,,,," 49,110 "," 51,669 "," 54,406 "," 57,335 "," 60,469 "," 63,823 "," 67,411 "," 71,251 "," 75,359 "," 79,756 "," 84,460 "
12,"Assistant Branch Manager/
Officer-I/Accountant-I",Basic,7%,xii," 15,100 "," 16,157 "," 17,288 "," 18,498 "," 19,793 "," 21,179 "," 22,661 "," 24,247 "," 25,945 "," 27,761 "," 29,704 "
,,HR,70%,," 10,570 "," 11,310 "," 12,102 "," 12,949 "," 13,855 "," 14,825 "," 15,863 "," 16,973 "," 18,161 "," 19,433 "," 20,793 "
,,MA,Fixed,," 3,000 "," 3,000 "," 3,000 "," 3,000 "," 3,000 "," 3,000 "," 3,000 "," 3,000 "," 3,000 "," 3,000 "," 3,000 "
,,Con,35%,," 5,285 "," 5,655 "," 6,051 "," 6,474 "," 6,928 "," 7,412 "," 7,931 "," 8,487 "," 9,081 "," 9,716 "," 10,396 "
,,Entertainment,Fixed,," 4,000 "," 4,000 "," 4,000 "," 4,000 "," 4,000 "," 4,000 "," 4,000 "," 4,000 "," 4,000 "," 4,000 "," 4,000 "
,Gross Salary,,,," 37,955 "," 40,122 "," 42,440 "," 44,921 "," 47,576 "," 50,416 "," 53,455 "," 56,707 "," 60,186 "," 63,910 "," 67,893 "
,PF & SWF Deduction,,,," 1,610 "," 1,716 "," 1,829 "," 1,950 "," 2,079 "," 2,218 "," 2,366 "," 2,525 "," 2,694 "," 2,876 "," 3,070 "
,Net Salary,,,," 36,345 "," 38,406 "," 40,612 "," 42,971 "," 45,496 "," 48,198 "," 51,089 "," 54,182 "," 57,492 "," 61,033 "," 64,823 "
,PF Contribution (Organization),,,," 1,510 "," 1,616 "," 1,729 "," 1,850 "," 1,979 "," 2,118 "," 2,266 "," 2,425 "," 2,594 "," 2,776 "," 2,970 "
,Gross Salary (Without Fuel & Lunch bill),,,," 39,465 "," 41,738 "," 44,169 "," 46,771 "," 49,555 "," 52,534 "," 55,721 "," 59,132 "," 62,781 "," 66,686 "," 70,864 "
,Fuel bill,,,," 2,000 "," 2,000 "," 2,000 "," 2,000 "," 2,000 "," 2,000 "," 2,000 "," 2,000 "," 2,000 "," 2,000 "," 2,000 "
,Lunch bill,,,," 1,560 "," 1,560 "," 1,560 "," 1,560 "," 1,560 "," 1,560 "," 1,560 "," 1,560 "," 1,560 "," 1,560 "," 1,560 "
Grand total,,,,," 43,025 "," 45,298 "," 47,729 "," 50,331 "," 53,115 "," 56,094 "," 59,281 "," 62,692 "," 66,341 "," 70,246 "," 74,424 "
13,Officer-ii/Accountant-ii,Basic,7%,xiii," 13,600 "," 14,552 "," 15,571 "," 16,661 "," 17,827 "," 19,075 "," 20,410 "," 21,839 "," 23,367 "," 25,003 "," 26,753 "
,,HR,70%,," 9,520 "," 10,186 "," 10,899 "," 11,662 "," 12,479 "," 13,352 "," 14,287 "," 15,287 "," 16,357 "," 17,502 "," 18,727 "
,,MA,Fixed,," 3,000 "," 3,000 "," 3,000 "," 3,000 "," 3,000 "," 3,000 "," 3,000 "," 3,000 "," 3,000 "," 3,000 "," 3,000 "
,,Con,35%,," 4,760 "," 5,093 "," 5,450 "," 5,831 "," 6,239 "," 6,676 "," 7,143 "," 7,644 "," 8,179 "," 8,751 "," 9,364 "
,,Entertainment,Fixed,," 4,000 "," 4,000 "," 4,000 "," 4,000 "," 4,000 "," 4,000 "," 4,000 "," 4,000 "," 4,000 "," 4,000 "," 4,000 "
